 Container oceanblue-s06-proof2-db-test-1 Running 
 Volume oceanblue-s06-proof2_proof-tls Creating 
 Volume oceanblue-s06-proof2_proof-tls Creating 
 Volume oceanblue-s06-proof2_smoke-files Creating 
 Volume oceanblue-s06-proof2_smoke-files Creating 
 Volume oceanblue-s06-proof2_smoke-files Created 
 Volume oceanblue-s06-proof2_smoke-files Created 
 Container oceanblue-s06-proof2-smoke-1 Creating 
 Volume oceanblue-s06-proof2_proof-tls Created 
 Volume oceanblue-s06-proof2_proof-tls Created 
 Container oceanblue-s06-proof2-proxy-1 Creating 
 Container oceanblue-s06-proof2-smoke-1 Created 
 Container oceanblue-s06-proof2-proxy-1 Created 
